date;total_infectados;total_recuperados;total_mortos;mortos_por_dia;infectados_por_dia;recuperados_por_dia;vacinados_por_dia;total_pessoas_vacinadas;total_pessoas_completamente_vacinadas
04.04.2020;1246;1;58;6;148;0;0;0;0
05.04.2020;1394;1;64;6;148;0;0;0;0
06.04.2020;1461;1;71;7;67;0;0;0;0
07.04.2020;1688;1;89;18;227;0;0;0;0
08.04.2020;1938;183;106;17;250;182;0;0;0
09.04.2020;2216;183;122;16;278;0;0;0;0
10.04.2020;2464;248;147;25;248;65;0;0;0
11.04.2020;2607;248;155;8;143;0;0;0;0
12.04.2020;2855;251;170;15;248;3;0;0;0
13.04.2020;3231;271;188;18;376;20;0;0;0
14.04.2020;3410;271;224;36;179;0;0;0;0
15.04.2020;3743;863;265;41;333;592;0;0;0
16.04.2020;3944;863;301;36;201;0;0;0;0
17.04.2020;4349;870;341;40;405;7;0;0;0
18.04.2020;4543;870;387;46;194;0;0;0;0
19.04.2020;4765;1119;402;15;222;249;0;0;0
20.04.2020;4899;1369;422;20;134;250;0;0;0
21.04.2020;5306;1580;461;39;407;211;0;0;0
22.04.2020;5552;1775;490;29;246;195;0;0;0
23.04.2020;6172;1888;530;40;620;113;0;0;0
24.04.2020;6282;2518;570;40;110;630;0;0;0
25.04.2020;6828;3144;615;45;546;626;0;0;0
26.04.2020;7111;3144;645;30;283;0;0;0;0
27.04.2020;7944;3650;677;32;833;506;0;0;0
28.04.2020;8504;4002;738;61;560;352;0;0;0
29.04.2020;8869;4002;794;56;365;0;0;0;0
30.04.2020;9453;5032;854;60;584;1030;0;0;0
01.05.2020;10166;5711;921;67;713;679;0;0;0
02.05.2020;10546;6115;971;50;380;404;0;0;0
03.05.2020;11139;6284;1019;48;593;169;0;0;0
04.05.2020;11721;6284;1065;46;582;0;0;0;0
05.05.2020;12391;7260;1123;58;670;976;0;0;0
06.05.2020;13295;8300;1205;82;904;1040;0;0;0
07.05.2020;14156;8968;1394;189;861;668;0;0;0
08.05.2020;15741;8968;1503;109;1585;0;0;0;0
09.05.2020;16929;10732;1653;150;1188;1764;0;0;0
10.05.2020;17062;10732;1714;61;133;0;0;0;0
11.05.2020;17939;11654;1770;56;877;922;0;0;0
12.05.2020;18486;13124;1928;158;547;1470;0;0;0
13.05.2020;18728;13917;2050;122;242;793;0;0;0
14.05.2020;19467;14818;2247;197;739;901;0;0;0
15.05.2020;19987;14818;2438;191;520;0;0;0;0
16.05.2020;21601;17557;2614;176;1614;2739;0;0;0
17.05.2020;22238;17557;2715;101;637;0;0;0;0
18.05.2020;26665;21961;2852;137;4427;4404;0;0;0
19.05.2020;27805;22953;3079;227;1140;992;0;0;0
20.05.2020;30372;25397;3237;158;2567;2444;0;0;0
21.05.2020;32089;26843;3412;175;1717;1446;0;0;0
22.05.2020;33589;28120;3657;245;1500;1277;0;0;0
23.05.2020;34533;28120;3905;248;944;0;0;0;0
24.05.2020;37912;31687;3993;88;3379;3567;0;0;0
25.05.2020;39298;31778;4105;112;1386;91;0;0;0
26.05.2020;40024;31934;4361;256;726;156;0;0;0
27.05.2020;42398;31934;4605;244;2374;0;0;0;0
28.05.2020;44886;31934;4856;251;2488;0;0;0;0
29.05.2020;47953;34136;5079;223;3067;2202;0;0;0
30.05.2020;52420;37470;5277;198;4467;3334;0;0;0
31.05.2020;53388;38735;5344;67;968;1265;0;0;0
01.06.2020;54530;40355;5462;118;1142;1620;0;0;0
02.06.2020;56732;41838;5686;224;2202;1483;0;0;0
03.06.2020;59240;41838;6010;324;2508;0;0;0;0
